"","Species","Est.Error","Estimate","lower_CI","upper_CI","Rhat","Bulk_ESS","Tail_ESS","nobs","effect","Estimate_sum","lower_CI_trans","upper_CI_trans"
"Intercept","Salix richardsonii",2.16632890216791,29.6349896054592,25.451211289086,34.1406788298354,1.00062750914664,2342.73061521005,3257.21360300084,133,"fixed",29.6349896054592,25.451211289086,34.1406788298354
"Northern Source","Salix richardsonii",3.43109482744422,4.33813491279818,-2.70870932176826,10.7151262346926,1.00023320770857,3208.72274160028,3667.68343811644,133,"fixed",33.9731245182574,22.7425019673177,44.8558050645279
"Southern Source","Salix richardsonii",1.62710070440747,-0.867768957943968,-3.95176490690104,2.38616098970873,1.00063254019477,5635.21308488204,4468.12295847036,133,"fixed",28.7672206475152,21.4994463821849,36.5268398195441
"Southern Garden","Salix richardsonii",1.1012735758153,2.65470666032935,0.467211745727417,4.8043728099194,0.999751856977716,6621.03272732814,4303.17688889356,133,"fixed",32.2896962657885,25.9184230348134,38.9450516397548
"Year","Salix richardsonii",2.13272672937093,4.64928493545948,1.76127961462501,9.67826448196988,1.00018129070191,1990.13171985681,2915.1365734937,133,"random",4.64928493545948,1.76127961462501,9.67826448196988
"Sigma","Salix richardsonii",0.289236590800951,4.553714093317,4.02522783816158,5.16317480975022,0.999935712805081,5826.40481091524,4245.5641305953,133,"residual",4.553714093317,4.02522783816158,5.16317480975022
"Intercept1","Salix pulchra",4.06261154206875,38.8317335409645,30.938432246432,47.0040220887938,1.00144131276954,2043.83455976453,2701.54813574739,110,"fixed",38.8317335409645,30.938432246432,47.0040220887938
"Northern Source1","Salix pulchra",2.86720137133858,-2.92788492768427,-8.62274932748925,2.60022352396378,1.00052697718484,4130.6001917583,4134.02919993333,110,"fixed",35.9038486132802,22.3156829189427,49.6042456127576
"Southern Source1","Salix pulchra",2.09699188912047,-1.21134638783925,-5.34943629285599,2.94936611119305,1.00022957903554,3943.15655478454,3604.39897788383,110,"fixed",37.6203871531252,25.588995953576,49.9533881999869
"Southern Garden1","Salix pulchra",1.66569336600058,0.131367414079371,-3.1261529157521,3.38209093030598,1.00016870765059,4440.85369322617,4036.35618383794,110,"fixed",38.9631009550438,27.8122793306799,50.3861130190998
"Year1","Salix pulchra",3.61854741051686,9.81147034625694,5.11369360144095,18.6000033645901,1.00158879694756,1852.9959378127,2985.98422906558,110,"random",9.81147034625694,5.11369360144095,18.6000033645901
"Sigma1","Salix pulchra",0.432042693141241,5.99146047127779,5.21111143119671,6.92340236577852,1.0000659583588,4600.44237743581,3721.38296177622,110,"residual",5.99146047127779,5.21111143119671,6.92340236577852
"1","Salix arctica",5.41618155573819,36.8268613705963,25.987424422711,47.0827522561541,0.999760215145245,3057.23720115882,3341.91150403953,56,"fixed",36.8268613705963,25.987424422711,47.0827522561541
"2","Salix arctica",6.82718547138994,18.5983589831763,5.55357167595574,32.0980568618004,0.999982423719318,3289.16156840899,4004.35801299256,56,"fixed",55.4252203537726,31.5409960986667,79.1808091179545
"3","Salix arctica",7.68893525880291,19.4021970725702,4.51637390580226,34.8886274616887,1.00001386531842,3408.05261693849,3824.95783185916,56,"fixed",56.2290584431665,30.5037983285132,81.9713797178428
"4","Salix arctica",7.66727554033442,12.3662075786185,-2.65589553999133,27.7156327815999,0.999882417185799,3441.83539902172,4133.32976571115,56,"fixed",49.1930689492148,23.3315288827196,74.798385037754
"5","Salix arctica",1.83054008071056,18.6638586835253,15.4758570021544,22.7461794575262,1.00003623749958,4242.97092765367,3939.26177788435,56,"residual",18.6638586835253,15.4758570021544,22.7461794575262
